"title","link","image","director","country","year","description"
"¡Alambrista!","https://www.criterionchannel.com/alambrista","https://vhx.imgix.net/criterionchannelchartersu/assets/c6b07021-e464-4891-a694-5a6411c11847.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Robert M. Young","United States,","1977","Directed by Robert M. Young • 1977 • United States
Starring Domingo Ambriz, Trinidad Silva, Linda Gillin

In ¡ALAMBRISTA!, a Mexican farmworker sneaks across the border to California to make money to send to his family back home. It is a story that happens every day, told here in an uncompromising, groundbreaking work of realism from American independent filmmaker Robert M. Young. Vivid and spare where other films about illegal immigration might sentimentalize, Young’s take is equal parts intimate character study and gripping road movie, a political work that never loses sight of the complex man at its center. ¡ALAMBRISTA!, winner of the Cannes Film Festival’s inaugural Caméra d&#39;Or in 1978, remains one of the best films ever made on this perennially relevant topic."
"aletheia","https://www.criterionchannel.com/aletheia","https://vhx.imgix.net/criterionchannelchartersu/assets/e5eff8e7-594e-46e2-9310-f719e8666e04.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Tran, T. Kim-Trang","United States,","1992","Directed by Tran T. Kim-Trang • 1992 • United States

The introductory title to The Blindness Series, ALETHEIA presents an indexing of categories investigating different aspects of blindness as metaphor. Stylistic preference for the techniques and conventions of MTV, and American television in general, provides the means to create connections among the categories of cosmetic surgery, sexuality, technology, language, hysterical blindness, and actual blindness."
"Alexander Nevsky","https://www.criterionchannel.com/alexander-nevsky","https://vhx.imgix.net/criterionchannelchartersu/assets/9b9efe0e-75b9-49ae-8937-f83716af50d7.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Sergei Eisenstein","Soviet Union,","1938","Directed by Sergei Eisenstein • 1938 • Soviet Union
Starring Nikolai Cherkasov, Nikolai Okhlopkov, Andrei Abrikosov

Eisenstein drew on history, Russian folk narratives, and the techniques of Walt Disney to create this broadly painted epic of Russian resilience. This story of Teutonic knights vanquished by Prince Alexander Nevsky’s tactical brilliance resonated deeply with a Soviet Union concerned with the rise of Nazi Germany. Widely imitated, most notably by Laurence Olivier’s Battle of Agincourt re-creation for HENRY V, the Battle on the Ice scene remains one of the most famous audio-visual experiments in film history, perfectly blending action with the rousing score of Sergei Prokofiev."
"Alexandria: Again and Forever","https://www.criterionchannel.com/alexandria-again-and-forever","https://vhx.imgix.net/criterionchannelchartersu/assets/2971ff99-c3e7-433e-8df8-54a656927b86.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Youssef Chahine","","1989","Directed by Youssef Chahine • 1989 • Egypt 
Starring Youssra, Hussein Fahmy, Youssef Chahine

The third installment in a series of four films Youssef Chahine made exploring his own life and times, ALEXANDRIA: AGAIN AND FOREVER stars the director himself as Yehia, a filmmaker whose planned HAMLET adaptation comes to a halt when his lead actor and muse Amr (Amr Abdul-Gelil), who may or may not be his lover, walks out on the project, launching him on a self-reflective journey through his artistic, political, and sexual worlds. Something like Chahine’s 8½, this florid self-portrait of the artist in middle age overflows with fantasies, musical numbers, and an exuberant sense of creative freedom."
"Alexandria . . . Why?","https://www.criterionchannel.com/alexandria-why","https://vhx.imgix.net/criterionchannelchartersu/assets/911e904c-f0c1-4492-9125-7309d61ea808.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Youssef Chahine","Egypt,","1979","Directed by Youssef Chahine • 1979 • Egypt 
Starring Naglaa Fathi, Mahmoud el-Meliguy, Farid Shawqi

Having spent the larger part of the 1960s and ’70s examining the rise and fall of Egypt’s first republic, director Youssef Chahine turned inwards with this kaleidoscopic, semi-autobiographical evocation of his wartime childhood, the first in a quartet of films collectively dubbed “Portrait of the Artist as a Young Man.” A bustling, novelistically detailed recreation of the cosmopolitan Alexandria during World War II, the film follows Chahine’s teenage alter ego Yehia (Mohsen Mohieddin) as he escapes from the engulfing uncertainty of Egyptian reality into a world of Hollywood fantasy—only to find himself gradually pulled toward student activism. Working with some of Egypt’s biggest stars of the time and deftly balancing a dizzying array of subplots—including a queer romance—Chahine creates a deeply personal tapestry of art, politics, culture, and community at a transformative moment in Egyptian history."
"alexia","https://www.criterionchannel.com/alexia","https://vhx.imgix.net/criterionchannelchartersu/assets/b0c0dad0-c8c8-407f-b2ec-855657a57176.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Tran, T. Kim-Trang","United States,","2000","Directed by Tran T. Kim-Trang • 2000 • United States

ALEXIA is an experimental video about word-blindness and metaphor. Word-blindness is a condition that usually afflicts people who have suffered a stroke, causing them to lose the visual recognition of individual letters but perceive the entire word, or vice versa. Metaphor is here discussed in its function to reveal and obscure perception. Divided into five short sections, ALEXIA opens with a quote from a well-known Buddhist passage (“Do not mistake the finger for the moon”) and goes on to present Giambattista Vico’s theory of the origin of language and Ludwig Wittgenstein’s theory of aspect-blindness."
"Alice in the Cities","https://www.criterionchannel.com/alice-in-the-cities","https://vhx.imgix.net/criterionchannelchartersu/assets/e0f31ac3-4bee-4597-9c72-fc5e399d665d.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Wim Wenders","Germany,","1974","Directed by Wim Wenders • 1974 • West Germany
Starring Rüdiger Vogler, Yella Rottländer, Elisabeth Kreuzer

The first of the road films that would come to define the career of Wim Wenders, the magnificent ALICE IN THE CITIES is an emotionally generous and luminously shot odyssey. A German journalist (Rüdiger Vogler) is driving across the United States to research an article; it’s a disappointing trip, in which he is unable to truly connect with what he sees. Things change, however, when he has no choice but to take a young girl named Alice (Yella Rottländer) with him on his return trip to Germany, after her mother (Lisa Kreuzer)—whom he has just met—leaves the child in his care. Though they initially find themselves at odds, the pair begin to form an unlikely friendship."
"Ali: Fear Eats the Soul","https://www.criterionchannel.com/ali-fear-eats-the-soul","https://vhx.imgix.net/criterionchannelchartersu/assets/b37387ce-2a06-4c83-9e68-62e5ff7ca656.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Rainer Werner Fassbinder","Germany,","1974","Directed by Rainer Werner Fassbinder • 1974 • West Germany
Starring Brigitte Mira, El Hedi ben Salem, Barbara Valentin

The wildly prolific German filmmaker Rainer Werner Fassbinder paid homage to his cinematic hero Douglas Sirk with this update of that filmmaker’s 1955 ALL THAT HEAVEN ALLOWS. A lonely widow (Brigitte Mira) meets a much younger Arab worker (El Hedi ben Salem) in a bar during a rainstorm. They fall in love, to their own surprise—and to the outright shock of their families, colleagues, and drinking buddies. In ALI: FEAR EATS THE SOUL, Fassbinder expertly wields the emotional power of classic Hollywood melodrama to expose the racial tensions underlying contemporary German culture."
"Alix’s Pictures","https://www.criterionchannel.com/alix-s-pictures","https://vhx.imgix.net/criterionchannelchartersu/assets/c64bb78c-5355-4e97-b8c2-caebdf37fcd1.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jean Eustache","France,","1980","Directed by Jean Eustache • 1980 • France
Starring Alix Clio-Roubaud, Boris Eustache

Winner of the 1982 César Award for Best Short Film, ALIX’S PICTURES is Jean Eustache’s playful meditation on the ambiguity of images and the elusiveness of interpretation. In a room, a young woman (Alix Cléo Roubaud) describes to a young man (Boris Eustache, the director’s son) the stories, techniques, and meanings behind several of her meticulously composed black-and-white photographs. But at some point, her explanations don’t seem to match what we see. Is this because language can never accurately account for the visual? Because the viewer is being asked to perform more than a surface-level comprehension of art? Because Eustache is perpetrating some sort of absurdist practical joke? Or all of the above?"
"All in This Tea","https://www.criterionchannel.com/all-in-this-tea","https://vhx.imgix.net/criterionchannelchartersu/assets/9a0bac20-bb2d-47a5-af4e-7c875c93e364.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Les Blank and Gina Leibrecht","United States,","2007","Directed by Gina Leibrecht and Les Blank • 2006 • United States

Join noted tea guru and importer David Lee Hoffman as he scours China for the finest teas in the world. Following Hoffman as he travels to local tea farms deep in the Chinese countryside, extols the virtues of organic farming and the fertilizing benefits of the humble earthworm, and talks tea with none other than Werner Herzog, director Les Blank (shooting digitally for the first time) crafts a portrait of a man driven by an all-consuming passion and an ode to the myriad pleasures of an ancient beverage."
"All Is Full of Love","https://www.criterionchannel.com/all-is-full-of-love","https://vhx.imgix.net/criterionchannelchartersu/assets/41ad5235-9e5f-4c05-b3b5-ef68e3898858.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Chris Cunningham","United Kingdom,","1999","Directed by Chris Cunningham • 1999 • United Kingdom
Starring Björk

Two machine-manufactured automatons experience a moment of tenderness in the music video for the single from Björk’s album “Homogenic.”"
"All Monsters Attack","https://www.criterionchannel.com/all-monsters-attack","https://vhx.imgix.net/criterionchannelchartersu/assets/70ccc493-7bf0-4e1d-a615-8d28dfb6fdd5.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ishiro Honda","Japan,","1969","Directed by Ishiro Honda • 1969 • Japan

Director Ishiro Honda returned again for the first Godzilla movie expressly for children. Economizing by reusing effects shots from other films in the series, All Monster Attack tells the story of Ichiro, a lonely latchkey kid who finds solace in his dreams of befriending Minilla, the titular progeny of Son of Godzilla, whose parent is also often absent. In this thoughtful, human-scale story, boy and monster learn together what it means to grow up."
"All My Good Countrymen","https://www.criterionchannel.com/all-my-good-countrymen","https://vhx.imgix.net/criterionchannelchartersu/assets/53e4bce7-1d8b-41ae-ad44-95100d1f6425.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Vojtech Jasný","Czechoslovakia,","1969","Directed by Vojtěch Jasný • 1969 • Czechoslovakia

Vojtěch Jasný won the best director award at the 1969 Cannes Film Festival for this sweeping portrait of a small Czech village between the years of 1945 and 1958, during which the residents go from hopeful in the aftermath of the defeat of the Nazis to increasingly demoralized in the face of the Communist takeover. Lyrical in its feeling for landscape but biting in its social and political commentary, ALL MY GOOD COUNTRYMEN stands as the defining work by one of the lesser-known figures of the Czechoslovak New Wave."
"All Night Long","https://www.criterionchannel.com/all-night-long","https://vhx.imgix.net/criterionchannelchartersu/assets/ee466b4c-85cc-430c-bb1e-fdca69751416.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Basil Dearden","United Kingdom,","1962","Directed by Basil Dearden • 1962 • United Kingdom

Othello is translated to the world of sixties London jazz clubs in Basil Dearden&#39;s smoky and sensational All Night Long. Over the course of one eventful evening, the anniversary celebration of the musical and romantic partners Aurelius Rex (Paul Harris) and Delia Lane (Marti Stevens), a jealous, ambitious drummer, Johnny Cousin (Patrick McGoohan), attempts to tear the interracial couple apart. This daring psychodrama also features on-screen appearances by jazz legends Charles Mingus, Dave Brubeck, Tubby Hayes, and Johnny Dankworth."
"All the President’s Men","https://www.criterionchannel.com/all-the-president-s-men","https://vhx.imgix.net/criterionchannelchartersu/assets/cda81741-cc00-459c-bb8a-f092e6ea465e.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Alan J. Pakula","United States,","1976","Directed by Alan J. Pakula • 1976 • United States
Starring Dustin Hoffman, Robert Redford, Jack Warden

At once a taut, deeply engrossing political thriller and one of the most fascinating films ever made about the inner workings of the press, the final installment in director Alan J. Pakula’s Paranoia Trilogy stars Robert Redford and Dustin Hoffman as Washington Post journalists Bob Woodward and Carl Bernstein, whose investigation into suspicious goings-on at the Watergate Hotel uncovers the biggest political scandal of the century and ultimately leads to the downfall of President Richard Nixon. Pakula builds riveting tension with almost documentary-like realism, while Gordon Willis’s shadowy cinematography suggests sinister dimensions of danger and corruption."
"All Shall Be Well","https://www.criterionchannel.com/all-shall-be-well","https://vhx.imgix.net/criterionchannelchartersu/assets/c0c0f335-a7b8-462a-bf7b-c1b5d30b3121.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ray Yeung","Hong Kong,","2024","Directed by Ray Yeung • 2024 • Hong Kong
Starring Maggie Li Lin-lin, Patra Au Ga-man, Tai Bo

What happens to a lifetime of love when it collides with the harsh realities of a bureaucratic system that doesn’t recognize your relationship? That’s the question at the heart of this profoundly poignant, delicate exploration of the meaning of family, in which Angie (Patra Au Ga-man), a sixtysomething lesbian living in Hong Kong, finds herself adrift following the sudden death of Pat (Maggie Li Lin-lin), her loving partner of forty years. When she learns that, because they were unable to legally marry, Pat’s estate will pass to her extended family, Angie struggles to retain both her dignity and the home that they shared for over thirty years."
"All Small Bodies","https://www.criterionchannel.com/all-small-bodies","https://vhx.imgix.net/criterionchannelchartersu/assets/36b2cf3c-c0b4-43b6-82fa-fdbb9cf9dce1.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jennifer Reeder","Germany,","2017","Directed by Jennifer Reeder • 2017 • Germany
Starring Sophia Hegarty Scholfield, Katharine Naughton, Yodit Riemersma

This feminist spin on the tale of Hansel and Gretel unfolds in the chaotic aftermath of a planetary catastrophe, as two resilient teenage girls awaken their extrasensory abilities and reclaim their autonomy from a menacing presence."
"All That Money Can Buy (a.k.a. The Devil and Daniel Webster)","https://www.criterionchannel.com/the-devil-and-daniel-webster","https://vhx.imgix.net/criterionchannelchartersu/assets/3d323659-4c5b-4501-9f72-6b8b2672a223.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","William Dieterle","United States,","1941","Directed by William Dieterle • 1941 • United States
Starring Edward Arnold, Walter Huston, James Craig

Jabez Stone is a hardworking farmer trying to make an honest living, but a streak of bad luck tempts him to do the unthinkable: bargain with the devil himself. In exchange for seven years of good fortune, Stone promises “Mr. Scratch” his soul. But when the troubled farmer begins to realize the error of his choice, he enlists the aid of the one man who might save him: the legendary orator and politician Daniel Webster. Directed with stylish flair by William Dieterle, ALL THAT MONEY CAN BUY (a.k.a. THE DEVIL AND DANIEL WEBSTER) brings the classic short story by Stephen Vincent Benét to life with inspired visuals, an unforgettable, Oscar-winning score by Bernard Herrmann, and a truly diabolical performance from Walter Huston as the devil."
"All the Boys Are Called Patrick","https://www.criterionchannel.com/all-the-boys-are-called-patrick","https://vhx.imgix.net/criterionchannelchartersu/assets/53e3cffc-9ec0-46ab-9cea-274bbc527b53.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jean-Luc Godard","France,","1957","Directed by Jean-Luc Godard • 1957 • France

A man makes dates with two women on the same day without realizing that they are best friends."
"All the Crows in the World","https://www.criterionchannel.com/all-the-crows-in-the-world","https://vhx.imgix.net/criterionchannelchartersu/assets/4373a38a-1dc2-4173-9d16-2d313bab9eef.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Tang Yi","Hong Kong,","2021","Directed by Tang Yi • 2021 • Hong Kong
Starring Chen Xuanyu, Xue Baohe

Winner of the Palme d’Or for best short film at Cannes, this blissfully bonkers, neon-drenched odyssey follows a teenage girl as she embarks on an irreverent night of adventure—complete with surreal dance numbers and queer romance—in an adult’s world."
"All the Days of May","https://www.criterionchannel.com/all-the-days-of-may","https://vhx.imgix.net/criterionchannelchartersu/assets/6df5f109-1b7b-402a-8f40-892d55e70ab3.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Miryam Charles","Canada,","2023","Directed by Miryam Charles • 2023 • Canada
Starring Schelby Jean-Baptiste, Florence Blain Mbaye

Following the shooting of a documentary on the death of her daughter, a mother reflects on her own life and especially on the passing of time."
"All These Women","https://www.criterionchannel.com/all-these-women","https://vhx.imgix.net/criterionchannelchartersu/assets/b4beb735-b9a2-4d83-a208-b4bd4c7ad830.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ingmar Bergman","Sweden,","1964","Directed by Ingmar Bergman • 1964 • Sweden

When the famous cellist Jarl Kulle bribes a critic to write his biography, the critic decides to blackmail him with the intimate details gleaned from the many women in his life."
"All We Imagine as Light","https://www.criterionchannel.com/all-we-imagine-as-light","https://vhx.imgix.net/criterionchannelchartersu/assets/0039ff0e-51b5-49e0-9824-a3014fa9ff60.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Payal Kapadia","India,","2024","Directed by Payal Kapadia • 2024 • France, India, Netherlands
Starring Kani Kusruti, Divya Prabha, Chhaya Kadam

Payal Kapadia’s acclaimed fiction-feature debut is a radiant ode to hope-giving connections forged amid big-city anonymity. Set against the hypnotic luminescence of Mumbai, ALL WE IMAGINE AS LIGHT follows three very different women working at the same hospital—Prabha (Kani Kusruti), Anu (Divya Prabha), and Parvathy (Chhaya Kadam)—each contending with personal and material struggles amid a modernizing India riven by gentrification and rising Hindu nationalism. When eviction drives Parvathy back to her childhood village, the trio embark on an enchanting getaway by the sea, where they shake loose their remaining secrets and—in one otherworldly sequence—a lingering ghost. Winner of the Grand Prix at the Cannes Film Festival, ALL WE IMAGINE AS LIGHT is a deep-rooted study of the fortifying power of friendship, propelled by moving performances and the director’s compassionate eye.

“Flat-out wonderful, one of the finest of the year . . . It’s shockingly beautiful.”
—Manohla Dargis, The New York Times (Critic’s Pick)

“One of the year’s great movies, in any form, style, or language.”  
—Justin Chang, The New Yorker

“★★★★! A stunning narrative debut . . . A reminder of the transcendent power of cinema.”  
—Lindsey Bahr, Associated Press

“The surprise masterpiece of 2024.”
—David Fear, Rolling Stone

THE #1 FILM OF THE YEAR ACCORDING TO
The New York Times
Sight and Sound
Film Comment
Associated Press
The Hollywood Reporter
Screen International

WINNER – NATIONAL SOCIETY OF FILM CRITICS
Best Director
Best Film Not in the English Language

WINNER – NEW YORK FILM CRITICS CIRCLE
Best International Film

WINNER – LOS ANGELES FILM CRITICS CIRCLE
Best Film Not in the English Language"
"Alma’s Rainbow","https://www.criterionchannel.com/alma-s-rainbow","https://vhx.imgix.net/criterionchannelchartersu/assets/1983dc5b-82ca-40db-8aeb-dc6033967935.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Ayoka Chenzira","United States,","1994","Directed by Ayoka Chenzira • 1994 • United States
Starring Kim Weston-Moran, Victoria Gabrielle Platt, Mizan Nunes

A rediscovered treasure of independent cinema, this incisive comedic drama follows Rainbow Gold (Victoria Gabrielle Platt), a teenager coming of age in Brooklyn, as she looks to two vastly different models of womanhood: her straitlaced mother, Alma (Kim Weston-Moran), who runs a hair salon in the parlor of their home and disapproves of her daughter’s newfound interest in boys; and her free-spirited, larger-than-life aunt Ruby (Mizan Kirby), who has just returned from Paris after a ten-year absence and whose presence shakes up the household. Bursting with the bold Day-Glo colors of nineties fashion, this dazzling feature from feminist filmmaker and animator Ayoka Chenzira grapples with questions of Black women’s sexuality, agency, and self-image from a multigenerational perspective."
"Alone","https://www.criterionchannel.com/alone","https://vhx.imgix.net/criterionchannelchartersu/assets/e24efc4f-5742-424c-b56d-4f1d633e4b0f-59a4c4b1.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Garrett Bradley","United States,","2017","Directed by Garrett Bradley • 2017 • United States

Winner of the Short Film Jury Award at Sundance, this stirringly poetic documentary puts a human face on the ravages of the American carceral state as a conflicted young woman contemplates marrying her imprisoned boyfriend."
"The Alphabet","https://www.criterionchannel.com/the-alphabet","https://vhx.imgix.net/criterionchannelchartersu/assets/6230f5dd-c049-4456-ac15-4655e7e75342.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","David Lynch","United States,","1968","Directed by David Lynch • 1968 • United States

This experimental short film presents a sick woman&#39;s nightmare involving living representations of the alphabet."
"Alucarda","https://www.criterionchannel.com/alucarda","https://vhx.imgix.net/criterionchannelchartersu/assets/ea7c5581-9e41-478f-9650-0894a09f8dab.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Juan López Moctezuma","Mexico,","1977","Directed by Juan López Moctezuma • 1977 • Mexico
Starring Tina Romero, Susana Kamini, Claudio Brook

Directed at fever-pitch hysteria by Alejandro Jodorowsky collaborator Juan López Moctezuma, this ultrablasphemous satanic shocker is one of the unholy grails of the nunsploitation genre—an orgiastic freakout of Catholic imagery, vampirism, lesbianism, and demonic possession. Following the death of her parents, teenage Justine (Susana Kamini) arrives at a convent where she strikes up a curious friendship with the mysterious Alucarda (Tina Romero)—a relationship that will unleash a most ungodly terror within their cloistered world."
"Always for Pleasure","https://www.criterionchannel.com/always-for-pleasure","https://vhx.imgix.net/criterionchannelchartersu/assets/ac4faa7b-4792-4861-b2cd-17cfa1761a8c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Les Blank","United States,","1978","Directed by Les Blank • 1978 • United States

his 1978 documentary is Les Blank’s celebration of the spirit and social traditions of New Orleans, featuring Mardi Gras and St. Patrick’s Day celebrations as well as musical performances by Allen Toussaint, Kid Thomas Valentine, Professor Longhair, and others."
"Amanda","https://www.criterionchannel.com/amanda","https://vhx.imgix.net/criterionchannelchartersu/assets/76ea0cbc-7ccf-4e9f-80b0-e5380081a002.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Carolina Cavalli","Italy,","2022","Directed by Carolina Cavalli • 2022 • Italy
Starring Benedetta Porcaroli, Galatéa Bellugi, Giovanna Mezzogiorno

The boldly assured debut feature from writer-director Carolina Cavalli is a hip, deadpan portrait of a young woman looking for human connection—in all the wrong ways. Born into an upper-class family with a doting mother who foots the bill for her indolent lifestyle, combative twenty-four-year-old Amanda (the magnetic Benedetta Porcaroli) searches for boyfriends but only finds misfits who are repelled by her intensity. She longs for understanding but has never had a friend of her own . . . until she discovers a long-lost childhood bond, spurring a mission to convince another recluse that they are still best friends."
"Amarcord","https://www.criterionchannel.com/amarcord","https://vhx.imgix.net/criterionchannelchartersu/assets/cac90c9c-f43a-4eb9-bb20-56b84b17c4e5.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Federico Fellini","Italy,","1973","Criterion Collection Edition #4

This carnivalesque portrait of provincial Italy during the fascist period, the most personal film from Federico Fellini, satirizes the director’s youth and turns daily life into a circus of social rituals, adolescent desires, male fantasies, and political subterfuge, all set to Nina Rota’s classic, nostalgia-tinged score. The Academy Award winning AMARCORD remains one of cinema’s enduring treasures."
"The Amateurist","https://www.criterionchannel.com/the-amateurist","https://vhx.imgix.net/criterionchannelchartersu/assets/f7e1585c-566d-4386-8780-3899b0d7e65c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Miranda July","United States,","1998","Directed by Miranda July • 1998 • United States
Starring Miranda July

This 1998 short film by Miranda July, in which a “professional” monitors an “amateur” (both played by July) via video surveillance, is a portrait of a woman on the brink of technology-induced madness."
"amaurosis","https://www.criterionchannel.com/amaurosis","https://vhx.imgix.net/criterionchannelchartersu/assets/17fc424a-af65-40ef-bff9-6f483df19896.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Tran, T. Kim-Trang","United States,","2002","Directed by Tran T. Kim-Trang • 2002 • United States

AMAUROSIS is an experimental documentary about Dat Nguyen, a blind guitarist living in Little Saigon in Orange County, California. Dat Nguyen was a “triple outcast”: blind, Amerasian, and an impoverished orphan. The video unfolds through layers of dialogue with Dat Nguyen about his experiences as a new immigrant and young adult in America."
"Ambition","https://www.criterionchannel.com/ambition","https://vhx.imgix.net/criterionchannelchartersu/assets/21e839d1-52a4-4f05-a583-5d6511a9b451.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hal Hartley","United States,","1991","Directed by Hal Hartley • 1991 • United States
Starring George Feaster, Hannah Sullivan, Rick Groel

Hal Hartley chronicles a day in the life of a young artist who longs for professional success and the attention of beautiful women, but who encounters only frustration and violence."
"American Boy: A Profile of Steven Prince","https://www.criterionchannel.com/american-boy-a-profile-of-steven-prince","https://vhx.imgix.net/criterionchannelchartersu/assets/3c05efa8-fc22-4544-a743-5a0f5b92f3dd.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Martin Scorsese","United States,","1978","Directed by Martin Scorsese • 1978 • United States
Starring Steven Prince

Martin Scorsese spends an evening with larger-than-life raconteur Steven Prince—a former drug addict, road manager for Neil Diamond, and actor who memorably played the gun salesman in TAXI DRIVER—as he recounts stories from his colorful life (one of which later inspired a key scene in PULP FICTION)."
"The American Friend","https://www.criterionchannel.com/the-american-friend","https://vhx.imgix.net/criterionchannelchartersu/assets/80f91e5a-d1a6-4c67-bf40-bfd5fd120f0c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Wim Wenders","Germany,","1977","Directed by Wim Wenders • 1977 • Germany
Starring Dennis Hopper, Bruno Ganz

Wim Wenders pays loving homage to rough-and-tumble Hollywood film noir with THE AMERICAN FRIEND, a loose adaptation of Patricia Highsmith’s novel “Ripley’s Game.” Dennis Hopper oozes quirky menace as an amoral American art dealer who entangles a terminally ill German everyman, played by Bruno Ganz, in a seedy criminal underworld as revenge for a personal slight, but when the two become embroiled in an ever-deepening murder plot, they form an unlikely bond. Filmed on location in Hamburg and Paris, with some scenes shot in grimy, late-seventies New York City, Wenders’ international breakout is a stripped-down crime story that mixes West German and American film flavors, and it features cameos by filmmakers Jean Eustache, Samuel Fuller, and Nicholas Ray."
"The American Soldier","https://www.criterionchannel.com/the-american-soldier","https://vhx.imgix.net/criterionchannelchartersu/assets/e5c085f4-fecc-46f4-9e7f-de20897241f3.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Rainer Werner Fassbinder","Germany,","1970","Directed by Rainer Werner Fassbinder • 1970 • Germany

The German-born American GI Ricky (Karl Scheydt) returns to Munich from Vietnam and is promptly hired as a contract killer. Rainer Werner Fassbinder&#39;s experimental noir is a subversive, self-reflexive gangster movie full of unexpected asides and stylistic flourishes, and features an audaciously bonkers final shot and memorable turns from many of the director&#39;s rotating gallery of players."
"Le amiche","https://www.criterionchannel.com/le-amiche","https://vhx.imgix.net/criterionchannelchartersu/assets/7d08afef-d192-4cb6-8389-8e959b5ed6aa.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Michelangelo Antonioni","Italy,","1955","Directed by Michelangelo Antonioni • 1955 • Italy
Starring Eleonora Rossi Drago, Gabriele Ferzetti, Franco Fabrizi

This major early achievement by Michelangelo Antonioni bears the first signs of the cinema-changing style for which he would soon be world-famous. LE AMICHE (THE GIRLFRIENDS) is a brilliantly observed, fragmentary depiction of modern bourgeois life, conveyed from the perspective of five Turinese women. As four of the friends try to make sense of the suicide attempt of the fifth, they find themselves examining their own troubled romantic lives. With suggestions of the theme of modern alienation and the fastidious visual abstraction that would define his later masterpieces such as L’AVVENTURA, L’ECLISSE, and RED DESERT, Antonioni’s film is a devastating take on doomed love and fraught friendship.

Restored by the Cineteca di Bologna at L’Immagine Ritrovata. Restoration funding provided by Gucci and The Film Foundation."
"Among Grey Stones","https://www.criterionchannel.com/among-grey-stones","https://vhx.imgix.net/criterionchannelchartersu/assets/f7a23fe8-72e2-4f85-afb8-11b26529a380.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Kira Muratova","Soviet Union,","1983","Directed by Kira Muratova • 1983 • Ukraine, Soviet Union
Starring Igor Sharapov, Oksana Shlapak, Stanislav Govorukhin

In AMONG GREY STONES, Kira Muratova crafts a dreamlike coming-of-age tale, adapted from a short story by legendary Ukrainian writer Vladimir Korolenko. Reeling from the death of his beloved mother and the negligence of his father (Stanislav Govorukhin), a powerful judge, ten-year-old Vasya (Igor Sharapov) forms a friendship with Valyok (Roman Levchenko) and Marusya (Oksana Shlapak), vagabond children who have taken refuge with a homeless man (Sergei Popov) in a crumbling church. Exposed to the desperate circumstances of a people whom he never knew existed, and enlivened by his new companions’ generosity and compassion, Vasya steals his sister’s porcelain doll to comfort the dying Marusya, setting his real and surrogate families on a potentially tragic collision course. Surreal, humanistic, and shot through with the endless wonder of childhood discovery, AMONG GREY STONES stands as one of Kira Muratova’s finest achievements, despite being re-edited by Soviet censors."
