"title","link","image","director","country","year","description"
"13 Days in France","https://www.criterionchannel.com/13-days-in-france","https://vhx.imgix.net/criterionchannelchartersu/assets/2e467bf1-123e-4d14-b82a-b83e71110573.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Claude Lelouch and François Reichenbach","France,","1968","Directed by Claude Lelouch and François Reichenbach • 1968 • France

13 DAYS IN FRANCE, a personal project for French filmmaker Claude Lelouch, approaches the X Olympic Winter Games in a radical way, ignoring certain disciplines and dwelling on others. This impressionistic kaleidoscope of a movie manages to be both freewheeling and intimate. Under the direction of Lelouch and François Reichenbach, 13 DAYS IN FRANCE pulses with the insouciant spirit of the sixties and the carefree cinematography and editing pioneered by the French New Wave."
"XIVth Olympiad: The Glory of Sport","https://www.criterionchannel.com/xivth-olympiad-the-glory-of-sport","https://vhx.imgix.net/criterionchannelchartersu/assets/5d03e302-5c5d-47b9-ba3b-fb9d2090c55f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Castleton Knight","United Kingdom,","1948","Directed by Castleton Knight • 1948 • United Kingdom

The official film of the Games of the XIV Olympiad London 1948 is the first in color and seeks to comprise both the winter and summer events from that year. The coverage of the sports cannot be faulted, as cinematographer Stanley Sayer marshaled his team of cameramen with a keen eye and deft precision."
"16 Days of Glory","https://www.criterionchannel.com/16-days-of-glory","https://vhx.imgix.net/criterionchannelchartersu/assets/927f6a45-8598-430a-afdb-3237e250b13e.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Bud Greenspan","United States,","1986","Directed by Bud Greenspan • 1986 • United States

Director Bud Greenspan, whose career covering sporting events had begun some twenty years earlier, seized the opportunity to helm the official film of the 1984 Los Angeles Olympics with such gusto that he would become the IOC&#39;s go-to person for Olympic movies. And this 284-minute record of the 1984 Games set the tone for his nine Olympic films to come. 16 DAYS OF GLORY is audacious and fresh and springs from a fascination with the energy and ambition that drive the finest athletes."
"21 Days","https://www.criterionchannel.com/21-days","https://vhx.imgix.net/criterionchannelchartersu/assets/5000557e-2e74-4770-a8a1-0ab154ad3a73.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Basil Dean","United Kingdom,","1940","Directed by Basil Dean • 1940 • Great Britain and United States

Larry accidentally kills Wanda&#39;s husband and as a result their love is now unencumbered, except that a man has been falsely accused of the crime. Larry has 21 days to act before that man goes to the gallows, but will he?"
"24 Frames","https://www.criterionchannel.com/24-frames","https://vhx.imgix.net/criterionchannelchartersu/assets/87468171-7adc-4736-b20f-e79903ef76a5-ffaab3ec.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Abbas Kiarostami","Iran,","2017","Directed by Abbas Kiarostami • 2017 • Iran

For what would prove to be his final film, Iranian director Abbas Kiarostami gave himself a challenge: to create a dialogue between his work as a filmmaker and his work as a photographer, bridging the two art forms to which he had dedicated his life. Setting out to reconstruct the moments immediately before and after a photograph is taken, Kiarostami selected twenty-four still images—most of them stark landscapes inhabited only by foraging birds and other wildlife—and digitally animated each one into its own subtly evolving four-and-a-half-minute vignette, creating a series of poignant studies in movement, perception, and time. A sustained meditation on the process of image making, 24 FRAMES is a graceful and elegiac farewell from one of the giants of world cinema."
"24 Frames per Second","https://www.criterionchannel.com/24-frames-per-second","https://vhx.imgix.net/criterionchannelchartersu/assets/3bb8c156-3cc6-4d2a-9b1f-223d97c8b65e-62c96e11.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Shirley Clarke","United States,","1977","Directed by Shirley Clarke • 1977 • United States

This short film was commissioned by the Los Angeles Museum of Art to complement an exhibit on Persian art. Focused on the beauty within textiles, 24 FRAMES PER SECOND illustrates director Shirley Clarke’s eye for detail."
"24 Hours in the Life of a Clown","https://www.criterionchannel.com/24-hours-in-the-life-of-a-clown","https://vhx.imgix.net/criterionchannelchartersu/assets/75c64c23-2d94-4ae8-96bb-592a4a58dec3.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jean-Pierre Melville","France,","1946","Directed by Jean-Pierre Melville • 1946 • France

Jean-Pierre Melville&#39;s first directorial effort was this 1946 short film about a clown and his partner, who find inspiration one day in the streets for their performance in the circus that night."
"32 Sounds","https://www.criterionchannel.com/32-sounds","https://vhx.imgix.net/criterionchannelchartersu/assets/9c3908bf-ce35-4231-a249-f66e50365d2f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Sam Green","United States,","2023","Directed by Sam Green • 2022 • United States

This immersive sensory odyssey from Academy Award–nominated documentarian Sam Green (THE WEATHER UNDERGROUND) explores the elemental phenomenon of sound by weaving together thirty-two specific auditory explorations into a meditation on the power of sound to bend time, cross borders, and profoundly shape our perception of the world around us. Featuring original music by JD Samson (Le Tigre, MEN), 32 SOUNDS takes the audience on a journey through time and space, exploring everything from forgotten childhood memories to the soundtrack of resistance to subaquatic symphonies, and inviting us to experience anew the astonishing sounds of everyday life."
"36 fillette","https://www.criterionchannel.com/36-fillette","https://vhx.imgix.net/criterionchannelchartersu/assets/402b77da-f606-4810-8fc6-577ac956069a.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Catherine Breillat and Catherine Breillat","France,","1988","Directed by Catherine Breillat • 1988 • France
Starring Delphine Zentout, Étienne Chicot, Jean-Pierre Léaud

After a nine-year absence from the director’s chair, Catherine Breillat returned with 36 FILLETTE, having lost none of her power to push both boundaries and buttons. Delphine Zentout plays Lili, a precocious fourteen-year-old girl on a seaside family vacation. Drawn to a bitter middle-aged man (Étienne Chicot), Lili longs to lose her virginity and initiates a contest of wills in which she discovers herself more mature than, but still rattled by the equivocations of, her chauvinistic counterpart. Fueled by an extraordinary performance by then-sixteen-year-old Zentout, and featuring a scene-stealing Jean-Pierre Léaud as Lili’s brief confidant, 36 FILLETTE showcases Breillat as an incisive chronicler of the subtle evolutions of teenage desire."
"The 39 Steps","https://www.criterionchannel.com/the-39-steps","https://vhx.imgix.net/criterionchannelchartersu/assets/cb054003-3dc9-42ab-a8ad-f68d8617c570.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Alfred Hitchcock","United Kingdom,","1935","Directed by Alfred Hitchcock • 1935 • United Kingdom
Starring Robert Donat, Madeline Carroll, Lucie Mannheim

A heart-racing spy story by Alfred Hitchcock, THE 39 STEPS follows Richard Hannay (Robert Donat) as he stumbles upon a conspiracy that thrusts him into a hectic chase across the Scottish moors—a chase in which he is both the pursuer and the pursued—as well as into an unexpected romance with the cool Pamela (Madeline Carroll). Adapted from a novel by John Buchan, this classic wrong-man thriller from the Master of Suspense anticipates the director’s most famous works (especially NORTH BY NORTHWEST), and remains one of his cleverest and most entertaining films."
